,time_index,values,outlier,series_id,outlier_2,good,sum
224,2017-08-13,32.522106,0,1,0,0,281
225,2017-08-14,38.506542,0,1,0,0,281
226,2017-08-15,36.313377,0,1,0,0,281
227,2017-08-16,34.652225,0,1,0,0,281
228,2017-08-17,38.140903,0,1,0,0,281
229,2017-08-18,37.185352,0,1,0,0,281
230,2017-08-19,29.810556,0,1,0,0,281
231,2017-08-20,25.835384,0,1,0,0,281
232,2017-08-21,29.489151,0,1,0,0,281
233,2017-08-22,29.329565,0,1,0,0,281
234,2017-08-23,28.136082,0,1,0,0,281
235,2017-08-24,28.996159,0,1,0,0,281
236,2017-08-25,32.25216,0,1,0,0,281
237,2017-08-26,32.279297,0,1,0,0,281
238,2017-08-27,32.40845,0,1,0,0,281
239,2017-08-28,33.147186,0,1,0,0,281
240,2017-08-29,27.614399,0,1,0,0,281
241,2017-08-30,25.625599,0,1,0,0,281
242,2017-08-31,28.783142,0,1,0,0,281
243,2017-09-01,30.453947,0,1,0,0,281
244,2017-09-02,30.18428,0,1,0,0,281
245,2017-09-03,32.81332,0,1,0,0,281
246,2017-09-04,39.521008,0,1,0,0,281
247,2017-09-05,42.584396,0,1,0,0,281
248,2017-09-06,46.38844,0,1,0,0,281
249,2017-09-07,43.729286,0,1,0,0,281
250,2017-09-08,34.624493,0,1,0,0,281
251,2017-09-09,27.306305,0,1,0,0,281
252,2017-09-10,25.115147,0,1,0,0,281
253,2017-09-11,27.480198,0,1,0,0,281
254,2017-09-12,27.130278,0,1,0,0,281
255,2017-09-13,26.319042,0,1,0,0,281
256,2017-09-14,25.488401,0,1,0,0,281
257,2017-09-15,29.83804,0,1,0,0,281
258,2017-09-16,34.702988,0,1,0,0,281
259,2017-09-17,38.452065,0,1,0,0,281
260,2017-09-18,45.333084,0,1,0,0,281
261,2017-09-19,43.541958,0,1,0,0,281
262,2017-09-20,41.656452,0,1,0,0,281
263,2017-09-21,37.017406,0,1,0,0,281
264,2017-09-22,37.45317,0,1,0,0,281
265,2017-09-23,32.23362,0,1,0,0,281
266,2017-09-24,31.48909,0,1,0,0,281
267,2017-09-25,32.035267,0,1,0,0,281
268,2017-09-26,33.236835,0,1,0,0,281
269,2017-09-27,35.912117,0,1,0,0,281
270,2017-09-28,37.091103,0,1,0,0,281
271,2017-09-29,35.47249,0,1,0,0,281
272,2017-09-30,28.486029,0,1,0,0,281
273,2017-10-01,24.534685,0,1,0,0,281
274,2017-10-02,26.909433,0,1,0,0,281
275,2017-10-03,25.831259,0,1,0,0,281
276,2017-10-04,26.687263,0,1,0,0,281
277,2017-10-05,26.81613,0,1,0,0,281
278,2017-10-06,30.185781,0,1,0,0,281
279,2017-10-07,30.395159,0,1,0,0,281
280,2017-10-08,29.449898,0,1,0,0,281
281,2017-10-09,33.73074,0,1,0,0,281
282,2017-10-10,35.808243,0,1,0,0,281
283,2017-10-11,37.990376,0,1,0,0,281
284,2017-10-12,37.63235,0,1,0,0,281
285,2017-10-13,32.673203,0,1,0,0,281
286,2017-10-14,27.55717,0,1,0,0,281
287,2017-10-15,27.409595,0,1,0,0,281
288,2017-10-16,32.234715,0,1,0,0,281
289,2017-10-17,31.488535,0,1,0,0,281
290,2017-10-18,32.050613,0,1,0,0,281
291,2017-10-19,34.04883,0,1,0,0,281
292,2017-10-20,32.7705,0,1,0,0,281
293,2017-10-21,30.818884,0,1,0,0,281
294,2017-10-22,32.46387,0,1,0,0,281
295,2017-10-23,40.39886,0,1,0,0,281
296,2017-10-24,42.06299,0,1,0,0,281
297,2017-10-25,40.103214,0,1,0,0,281
298,2017-10-26,41.033318,0,1,0,0,281
299,2017-10-27,45.42887,0,1,0,0,281
300,2017-10-28,37.656693,0,1,0,0,281
301,2017-10-29,34.30831,0,1,0,0,281
302,2017-10-30,38.19302,0,1,0,0,281
303,2017-10-31,37.57234,0,1,0,0,281
304,2017-11-01,36.41939,0,1,0,0,281
305,2017-11-02,33.86294,0,1,0,0,281
306,2017-11-03,30.285538,0,1,0,0,281
307,2017-11-04,28.708496,0,1,0,0,281
308,2017-11-05,30.440538,0,1,0,0,281
309,2017-11-06,35.858852,0,1,0,0,281
310,2017-11-07,36.13292,0,1,0,0,281
311,2017-11-08,36.077465,0,1,0,0,281
312,2017-11-09,30.233412,0,1,0,0,281
313,2017-11-10,33.050323,0,1,0,0,281
314,2017-11-11,30.61243,0,1,0,0,281
315,2017-11-12,29.088587,0,1,0,0,281
316,2017-11-13,33.061703,0,1,0,0,281
317,2017-11-14,33.74662,0,1,0,0,281
318,2017-11-15,34.31407,0,1,0,0,281
319,2017-11-16,30.458126,0,1,0,0,281
320,2017-11-17,30.809696,0,1,0,0,281
321,2017-11-18,31.686207,0,1,0,0,281
322,2017-11-19,36.46841,0,1,0,0,281
323,2017-11-20,40.395294,0,1,0,0,281
324,2017-11-21,39.305588,0,1,0,0,281
325,2017-11-22,36.013348,0,1,0,0,281
326,2017-11-23,39.54199,0,1,0,0,281
327,2017-11-24,40.066833,0,1,0,0,281
328,2017-11-25,34.99307,0,1,0,0,281
329,2017-11-26,35.467976,0,1,0,0,281
330,2017-11-27,42.72017,0,1,0,0,281
331,2017-11-28,42.84855,0,1,0,0,281
332,2017-11-29,44.576332,0,1,0,0,281
333,2017-11-30,44.631485,0,1,0,0,281
334,2017-12-01,47.457367,0,1,0,0,281
335,2017-12-02,41.11565,0,1,0,0,281
336,2017-12-03,37.773087,0,1,0,0,281
